Temperature logger

#Date	#Time	#Temperature
2017.04.20	06:53:07,1348	159,446
2017.04.20	06:53:37,1578	159,451
2017.04.20	06:54:07,0848	159,450
2017.04.20	06:54:37,0768	159,450
2017.04.20	06:55:07,1038	159,451
2017.04.20	06:55:37,1078	159,447
2017.04.20	06:56:07,1148	159,436
2017.04.20	06:56:37,1378	159,435
2017.04.20	06:57:07,1458	159,436
2017.04.20	06:57:37,1708	159,439
2017.04.20	06:58:07,0888	159,445
2017.04.20	06:58:37,0878	159,445
2017.04.20	06:59:07,1128	159,449
2017.04.20	06:59:37,1348	159,456
2017.04.20	07:00:07,1418	159,460
2017.04.20	07:00:37,1488	159,459
2017.04.20	07:01:07,1728	159,454
2017.04.20	07:01:37,0838	159,456
2017.04.20	07:02:07,0918	159,449
2017.04.20	07:02:37,1148	159,456
2017.04.20	07:03:07,1218	159,453
2017.04.20	07:03:37,1298	159,454
2017.04.20	07:04:07,1528	159,456
2017.04.20	07:04:37,1598	159,450
2017.04.20	07:05:07,0878	159,444
2017.04.20	07:05:37,0948	159,443
2017.04.20	07:06:07,1028	159,448
2017.04.20	07:06:37,1258	159,451
2017.04.20	07:07:07,1168	159,449
2017.04.20	07:07:37,1408	159,447
2017.04.20	07:08:07,1638	159,447
2017.04.20	07:08:37,0748	159,454
2017.04.20	07:09:07,0828	159,453
2017.04.20	07:09:37,0898	159,455
2017.04.20	07:10:07,1288	159,457
2017.04.20	07:10:37,1208	159,451
2017.04.20	07:11:07,1288	159,452
2017.04.20	07:11:37,1848	159,457
2017.04.20	07:12:07,1588	159,455
2017.04.20	07:12:37,0858	159,450
2017.04.20	07:13:07,0938	159,455
2017.04.20	07:13:37,1168	159,459
2017.04.20	07:14:07,1268	159,462
2017.04.20	07:14:37,1318	159,468
2017.04.20	07:15:07,1548	159,472
2017.04.20	07:15:37,1458	159,473
2017.04.20	07:16:07,0738	159,474
2017.04.20	07:16:37,0968	159,482
2017.04.20	07:17:07,1038	159,483
2017.04.20	07:17:37,1118	159,483
2017.04.20	07:18:07,1188	159,479
2017.04.20	07:18:37,1418	159,466
2017.04.20	07:19:07,1508	159,465
2017.04.20	07:19:37,0798	159,468
2017.04.20	07:20:07,0838	159,468
2017.04.20	07:20:37,1078	159,469
2017.04.20	07:21:07,1148	159,473
2017.04.20	07:21:37,1378	159,465
2017.04.20	07:22:07,1458	159,457
2017.04.20	07:22:37,1528	159,458
2017.04.20	07:23:07,1598	159,464
2017.04.20	07:23:37,0878	159,463
2017.04.20	07:24:07,0948	159,463
2017.04.20	07:24:37,1018	159,462
2017.04.20	07:25:07,1258	159,464
2017.04.20	07:25:37,1328	159,471
2017.04.20	07:26:07,1398	159,474
2017.04.20	07:26:37,1638	159,472
2017.04.20	07:27:07,0748	159,475
2017.04.20	07:27:37,0988	159,475
2017.04.20	07:28:07,1058	159,482
2017.04.20	07:28:37,1138	159,482
2017.04.20	07:29:07,1368	159,485
2017.04.20	07:29:37,1438	159,482
2017.04.20	07:30:07,1668	159,479
2017.04.20	07:30:37,0808	159,477
2017.04.20	07:31:07,0858	159,472
2017.04.20	07:31:37,1088	159,474
2017.04.20	07:32:07,1168	159,467
2017.04.20	07:32:37,1398	159,469
2017.04.20	07:33:07,1308	159,471
2017.04.20	07:33:37,1538	159,472
2017.04.20	07:34:07,0818	159,478
2017.04.20	07:34:37,0728	159,486
2017.04.20	07:35:07,0958	159,485
2017.04.20	07:35:37,1198	159,492
2017.04.20	07:36:07,1268	159,487
2017.04.20	07:36:37,1338	159,488
2017.04.20	07:37:07,1418	159,489
2017.04.20	07:37:37,1808	159,493
2017.04.20	07:38:07,0768	159,487
2017.04.20	07:38:37,1158	159,483
2017.04.20	07:39:07,1068	159,487
2017.04.20	07:39:37,1138	159,496
2017.04.20	07:40:07,1378	159,490
2017.04.20	07:40:37,1448	159,488
2017.04.20	07:41:07,1838	159,486
2017.04.20	07:41:37,1092	159,486
2017.04.20	07:42:07,1492	159,486
2017.04.20	07:42:37,1091	159,483
2017.04.20	07:43:07,1662	159,478
2017.04.20	07:43:37,1912	159,478
2017.04.20	07:44:07,1190	159,480
2017.04.20	07:44:37,1641	159,487
2017.04.20	07:45:07,1190	159,484
2017.04.20	07:45:37,1590	159,491
2017.04.20	07:46:07,1199	159,492
2017.04.20	07:46:37,1894	159,504
2017.04.20	07:47:07,1774	159,508
2017.04.20	07:47:37,0843	159,504
2017.04.20	07:48:07,1193	159,507
2017.04.20	07:48:37,1223	159,511
2017.04.20	07:49:07,1583	159,504
2017.04.20	07:49:37,0973	159,506
2017.04.20	07:50:07,1173	159,502
2017.04.20	07:50:37,1363	159,499
2017.04.20	07:51:07,1553	159,496
2017.04.20	07:51:37,0910	159,498
2017.04.20	07:52:07,1190	159,528
2017.04.20	07:52:37,1160	159,607
2017.04.20	07:53:07,1460	159,754
2017.04.20	07:53:37,1590	159,986
2017.04.20	07:54:07,0920	160,365
2017.04.20	07:54:37,1060	160,834
2017.04.20	07:55:07,1230	161,401
2017.04.20	07:55:37,1480	162,066
2017.04.20	07:56:07,1780	162,716
2017.04.20	07:56:37,0764	163,346
2017.04.20	07:57:07,1024	163,974
2017.04.20	07:57:37,1284	164,613
2017.04.20	07:58:07,1394	165,191
2017.04.20	07:58:37,1494	165,753
2017.04.20	07:59:07,0644	166,319
2017.04.20	07:59:37,1064	166,829
2017.04.20	08:00:07,1004	167,317
2017.04.20	08:00:37,1264	167,766
2017.04.20	08:01:07,1374	168,229
2017.04.20	08:01:37,1484	168,635
2017.04.20	08:02:07,0814	169,033
2017.04.20	08:02:37,0884	169,464
2017.04.20	08:03:07,0984	169,857
2017.04.20	08:03:37,1244	170,251
2017.04.20	08:04:07,1354	170,652
2017.04.20	08:04:37,1614	171,093
2017.04.20	08:05:07,0764	171,517
2017.04.20	08:05:37,0864	171,954
2017.04.20	08:06:07,1124	172,438
2017.04.20	08:06:37,1224	172,896
2017.04.20	08:07:07,1494	173,354
2017.04.20	08:07:37,1594	173,838
2017.04.20	08:08:07,0754	174,341
2017.04.20	08:08:37,1004	174,820
2017.04.20	08:09:07,1104	175,310
2017.04.20	08:09:37,1224	175,847
2017.04.20	08:10:07,1464	176,333
2017.04.20	08:10:37,1574	176,811
2017.04.20	08:11:07,0874	177,211
2017.04.20	08:11:37,0984	177,515
2017.04.20	08:12:07,1084	177,691
